vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Test1/City/Test01_City_D01,67.29,640,480,uyvy422,30.00030000300003,364,N/A,147863694
Test1/City/Test01_City_D02,24.86,640,480,uyvy422,15.151515151515152,173,N/A,74905708
Test1/City/Test01_City_D03,17.96,640,480,uyvy422,14.460897732531235,170,N/A,71498786
Test1/City/Test01_City_D04,30.23,640,480,uyvy422,30.003540417769297,345,N/A,147902104
Test1/City/Test01_City_D05,25.08,640,480,uyvy422,14.689766814641585,172,N/A,72625382
Test1/City/Test01_City_D06,43.78,640,480,uyvy422,28.600764784450337,325,N/A,141012363
Test1/City/Test01_City_D07,51.67,640,480,uyvy422,28.474695961433873,358,N/A,140350867
Test1/City/Test01_City_D08,63.68,640,480,uyvy422,25.0,295,N/A,123297959
Test1/City/Test01_City_D09,64.95,640,480,uyvy422,25.0,308,N/A,123280261
Test1/Talking_head/Test01_Talking_Head_D01,69.37,640,480,uyvy422,30.00030000300003,485,N/A,147762139
Test1/Talking_head/Test01_Talking_Head_D02,31.65,640,480,uyvy422,15.151515151515152,258,N/A,74762504
Test1/Talking_head/Test01_Talking_Head_D03,31.98,640,480,uyvy422,14.715663941325705,254,N/A,72616322
Test1/Talking_head/Test01_Talking_Head_D04,30.87,640,480,uyvy422,30.06334346468008,509,N/A,148058226
Test1/Talking_head/Test01_Talking_Head_D05,35.1,640,480,uyvy422,14.753875843184005,253,N/A,72806021
Test1/Talking_head/Test01_Talking_Head_D06,38.22,640,480,uyvy422,27.52697643690817,458,N/A,135596657
Test1/Talking_head/Test01_Talking_Head_D07,35.99,640,480,uyvy422,29.52657096120799,497,N/A,145421600
Test1/Talking_head/Test01_Talking_Head_D08,53.69,640,480,uyvy422,25.0,402,N/A,123186434
Test1/Talking_head/Test01_Talking_Head_D09,64.59,640,480,uyvy422,25.0,403,N/A,123185672
Test1/Traffic/Test01_Traffic_D01,67.74,640,480,uyvy422,30.00030000300003,695,N/A,147669949
Test1/Traffic/Test01_Traffic_D02,29.57,640,480,uyvy422,15.151515151515152,334,N/A,74696369
Test1/Traffic/Test01_Traffic_D03,27.76,640,480,uyvy422,14.848603637313946,391,N/A,73170995
Test1/Traffic/Test01_Traffic_D04,25.72,640,480,uyvy422,29.98689572656749,636,N/A,147623703
Test1/Traffic/Test01_Traffic_D05,30.21,640,480,uyvy422,14.86484879475806,360,N/A,73267225
Test1/Traffic/Test01_Traffic_D06,43.36,640,480,uyvy422,28.173934602663,617,N/A,138705329
Test1/Traffic/Test01_Traffic_D07,65.53,640,480,uyvy422,29.453953162323682,650,N/A,144995140
Test1/Traffic/Test01_Traffic_D08,63.4,640,480,uyvy422,25.0,603,N/A,123084120
Test1/Traffic/Test01_Traffic_D09,60.7,640,480,uyvy422,25.0,620,N/A,123078514
Test2/City/Test02_City_D01,53.35,640,480,uyvy422,30.00030000300003,460,N/A,147778733
Test2/City/Test02_City_D02,9.99,640,480,uyvy422,29.95599464386816,477,N/A,147549032
Test2/City/Test02_City_D03,18.83,640,480,uyvy422,14.96284725027756,240,N/A,73853108
Test2/City/Test02_City_D04,9.25,640,480,uyvy422,14.848735927110525,245,N/A,73283624
Test2/City/Test02_City_D05,45.91,640,480,uyvy422,29.06833092550659,458,N/A,143189301
Test2/City/Test02_City_D06,38.99,640,480,uyvy422,24.949041582567606,364,N/A,122967352
Test2/City/Test02_City_D07,62.54,640,480,uyvy422,29.526832509042592,467,N/A,145441726
Test2/City/Test02_City_D08,36.88,640,480,uyvy422,29.73986539736921,471,N/A,146488402
Test2/City/Test02_City_D09,56.28,640,480,uyvy422,25.0,402,N/A,123186434
Test2/City/Test02_City_D10,0.21,640,480,uyvy422,29.415225320625957,484,N/A,144881057
Test2/Talking_head/Test02_Talking_Head_D01,64.68,640,480,uyvy422,30.00030000300003,509,N/A,147747745
Test2/Talking_head/Test02_Talking_Head_D02,22.64,640,480,uyvy422,30.00444065721727,497,N/A,147775161
Test2/Talking_head/Test02_Talking_Head_D03,22.11,640,480,uyvy422,14.949627231044994,263,N/A,73760867
Test2/Talking_head/Test02_Talking_Head_D04,16.69,640,480,uyvy422,14.746652509880256,256,N/A,72766992
Test2/Talking_head/Test02_Talking_Head_D05,46.3,640,480,uyvy422,28.728862739239606,498,N/A,141492227
Test2/Talking_head/Test02_Talking_Head_D06,24.35,640,480,uyvy422,23.151149223047433,390,N/A,114085054
Test2/Talking_head/Test02_Talking_Head_D07,36.58,640,480,uyvy422,29.526832509042592,497,N/A,145422889
Test2/Talking_head/Test02_Talking_Head_D08,35.7,640,480,uyvy422,29.8686674691382,495,N/A,147107662
Test2/Talking_head/Test02_Talking_Head_D09,64.84,640,480,uyvy422,25.0,423,N/A,123171185
Test2/Talking_head/Test02_Talking_Head_D10,33.8,640,480,uyvy422,29.79817694753435,502,N/A,146756343
Test2/Traffic/Test02_Traffic_D01,69.62,640,480,uyvy422,30.00030000300003,806,N/A,147640652
Test2/Traffic/Test02_Traffic_D02,25.39,640,480,uyvy422,29.985726794046034,623,N/A,147622799
Test2/Traffic/Test02_Traffic_D03,21.78,640,480,uyvy422,14.96508645330444,385,N/A,73747946
Test2/Traffic/Test02_Traffic_D04,24.69,640,480,uyvy422,14.846928170561512,365,N/A,73176104
Test2/Traffic/Test02_Traffic_D05,30.89,640,480,uyvy422,28.670300149372263,769,N/A,141103749
Test2/Traffic/Test02_Traffic_D06,34.66,640,480,uyvy422,24.169943708201103,627,N/A,118989884
Test2/Traffic/Test02_Traffic_D07,61.43,640,480,uyvy422,29.461155466517397,765,N/A,144997010
Test2/Traffic/Test02_Traffic_D08,29.35,640,480,uyvy422,29.87759150759339,775,N/A,147044072
Test2/Traffic/Test02_Traffic_D09,64.3,640,480,uyvy422,25.0,676,N/A,123062044
Test2/Traffic/Test02_Traffic_D10,27.35,640,480,uyvy422,29.5801978323631,830,N/A,145567971
Test3/City/Test03_City_D01,34.75,1280,720,yuv422p,31.579612202362156,467,N/A,200251238
Test3/City/Test03_City_D02,16.48,1280,720,yuv422p,29.97000002997,451,N/A,185766244
Test3/City/Test03_City_D03,57.62,1280,720,yuv422p,30.00003000003,449,N/A,217790187
Test3/City/Test03_City_D04,13.96,1280,720,yuv422p,21.124543973906963,317,N/A,134282343
Test3/City/Test03_City_D05,22.47,1280,720,yuv422p,29.97000002997,450,N/A,198475216
Test3/City/Test03_City_D06,12.85,1280,720,yuv422p,14.89999865900012,225,N/A,93168559
Test3/City/Test03_City_D07,35.74,1280,720,yuv422p,30.109961579689024,449,N/A,193687806
Test3/City/Test03_City_D08,30.01,1280,720,yuv422p,24.369975215735206,342,N/A,155896458
Test3/City/Test03_City_D09,30.86,1280,720,yuv422p,28.92003898421255,434,N/A,183175226
Test3/City/Test03_City_D10,50.12,1280,720,yuv422p,24.320012451846374,365,N/A,174664811
Test3/City/Test03_City_D11,15.47,1280,720,yuv422p,22.229978014551744,338,N/A,153227869
