vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Artifacts/0723_ManUnderTree_GS5_03_20150723_130016,52.56657483287041,1920,1080,yuv420p,25.0,450,8,14968659
Artifacts/0723_ManUnderTree_GS6_03_20150723_130100,57.28880925319935,1920,1080,yuv420p,25.0,450,8,17017680
Artifacts/0723_ManUnderTree_HTCOneVx_03_VIDEO0006,36.709288593516966,1920,1080,yuv420p,25.0,450,8,10913547
Artifacts/0723_ManUnderTree_Nokia1020_03_WP_20130426_22_12_02_Pro,45.67874272310085,1920,1080,yuv420p,25.0,450,8,16824402
Artifacts/0911nightScene_1020_WindowsPhone_20130305_21_59_44_Pro,21.187371167047402,1920,1080,yuv420p,25.0,450,8,16294698
Artifacts/0911nightScene_5s_IMG_0160,35.72522155502472,1920,1080,yuv420p,25.0,450,8,5016508
Artifacts/0911nightScene_gs5_20150911_194737,32.27546017222677,1920,1080,yuv420p,25.0,450,8,5889119
Artifacts/0911nightScene_note4_20150911_193809,36.546723521311996,1920,1080,yuv420p,25.0,449,8,5288434
Artifacts/0918_AxelFetchesBall_GS6_20150919_090332,58.23142265391711,1920,1080,yuv420p,25.0,450,8,8783424
Artifacts/0918_AxelFetchesBall_HTCOneVX_VIDEO0056,42.628796648669706,1920,1080,yuv420p,25.0,450,8,7418672
Artifacts/0918_AxelFetchesBall_LGG2_CAM00802,52.891660679374006,1920,1080,yuv420p,25.0,450,8,9193804
Artifacts/0918_AxelFetchesBall_OppoFind7_VID20150407042625,56.47030298915485,1920,1080,yuv420p,25.0,450,8,9502680
Artifacts/0918_DogsOnBeach_GS6_20150919_085853,65.94233767581703,1920,1080,yuv420p,25.0,450,8,7767715
Artifacts/0918_DogsOnBeach_HTCOneVX_VIDEO0055,50.378497196338884,1920,1080,yuv420p,25.0,450,8,6770660
Artifacts/0918_DogsOnBeach_LGG2_CAM00801,60.0145230621533,1920,1080,yuv420p,25.0,450,8,9702272
Artifacts/0918_DogsOnBeach_OppoFind7_VID20150407042141,61.24971954276459,1920,1080,yuv420p,25.0,450,8,8739423
Artifacts/0923_ChattingOverLunch_G2_CAM00813,45.67855937078179,1920,1080,yuv420p,25.0,450,8,4969939
Artifacts/0923_ChattingOverLunch_GS6_20150923_122025,60.43118323177181,1920,1080,yuv420p,25.0,449,8,4918916
Artifacts/0923_ChattingOverLunch_HTCOneVx_VIDEO0066,31.49041491004223,1920,1080,yuv420p,25.0,443,8,6373809
Artifacts/0923_ChattingOverLunch_Oppo_VID20150411074312,52.436942132562734,1920,1080,yuv420p,25.0,450,8,5382725
Artifacts/1006_DucksAndFish2_GS6_20151006_161642,51.0393821878597,1920,1080,yuv420p,25.0,450,8,21413355
Artifacts/1006_DucksAndFish2_HTCOneVX_VIDEO0093,31.435259054533738,1920,1080,yuv420p,25.0,410,8,14145289
Artifacts/1006_DucksAndFish2_LGG2_CAM00841,61.63231290029228,1920,1080,yuv420p,25.0,450,8,24833971
Artifacts/1006_DucksAndFish2_OppoFind7_VID20150424113906,21.403852037578215,1920,1080,yuv420p,25.0,450,8,17539428
Artifacts/1006_FollowTheTrain_GS6_20151006_155539,47.30872740564676,1920,1080,yuv420p,25.0,450,8,3819270
Artifacts/1006_FollowTheTrain_HTCOneVX_VIDEO0086,27.486434026248876,1920,1080,yuv420p,25.0,443,8,5858713
