vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
A001,80.232,1920,1080,yuvj420p,29.9929016799357,300,8,19924412
A002,57.3005,1920,1080,yuv420p,29.9800796812749,301,8,10882542
A003,78.1558,1920,1080,yuv420p,29.9750208159867,300,8,17935662
A004,59.3179,1920,1080,yuvj420p,29.999531779883,299,8,21669449
A005,47.1778,1920,1080,yuv420p,30.0,301,8,16022596
A006,84.6517,1920,1080,yuvj420p,30.0078093413014,301,8,21644543
A007,50.8675,1920,1080,yuv420p,29.9750208159867,300,8,16753618
A008,46.8902,1920,1080,yuv420p,29.9800133244504,300,8,15365270
A009,80.7925,1920,1080,yuv420p,29.9800133244504,300,8,16169425
A010,31.2785,1920,1080,yuvj420p,30.0081749845473,301,8,21698492
A011,87.2287,1920,1080,yuv420p,29.9801797700409,300,8,16987750
A012,47.7826,1920,1080,yuv420p,29.9001666657438,300,8,16928331
A013,83.4083,1920,1080,yuv420p,29.9800796812749,301,8,10728535
A014,69.9652,1920,1080,yuv420p,29.9800133244504,300,8,15307688
A015,78.3957,1920,1080,yuv420p,29.9882712539096,300,8,16994922
A016,37.8421,1920,1080,yuv420p,29.8974421077308,299,8,16921455
A017,65.4778,1920,1080,yuv420p,30.0089727825596,301,8,17088272
A018,76.0205,1920,1080,yuv420p,29.9800133244504,300,8,15496118
A019,70.843,1920,1080,yuv420p,29.9800796812749,301,8,10665206
A020,77.7258,1920,1080,yuv420p,29.9836422573907,300,8,16992500
A021,37.6011,1920,1080,yuv420p,29.8500509148026,299,8,16995255
A022,38.674,1920,1080,yuv420p,30.0049842166473,301,8,17087855
A023,69.0588,1920,1080,yuv420p,29.9800133244504,300,8,15177783
A024,71.962,1920,1080,yuv420p,29.9800133244504,300,8,14728795
A025,42.0856,1920,1080,yuv420p,29.9255850451876,300,8,16952804
A026,74.5397,1920,1080,yuv420p,29.9758195055988,300,8,16986253
A027,56.3388,1920,1080,yuv420p,29.9800133244504,300,8,15459406
A028,41.5304,1920,1080,yuv420p,29.8293706789812,299,8,10238678
A029,75.3861,1920,1080,yuv420p,29.9850074962519,300,8,15407115
A030,81.5278,1920,1080,yuv420p,30.0055491990213,301,8,17160957
A031,62.1042,1920,1080,yuv420p,29.9295989322893,300,8,16971495
A032,74.3189,1920,1080,yuv420p,29.9800796812749,301,8,10475913
A033,71.7097,1920,1080,yuv420p,29.9482892871642,300,8,16970358
A034,80.4271,1920,1080,yuv420p,29.9800796812749,301,8,10775987
A035,85.0968,1920,1080,yuv420p,29.9800796812749,301,8,11407334
A036,46.6608,1920,1080,yuv420p,29.9139475442311,300,8,16951276
A037,77.5858,1920,1080,yuv420p,29.9800796812749,301,8,10727557
A038,51.9195,1920,1080,yuv420p,29.925,300,8,5553312
A039,53.006,1920,1080,yuv420p,29.8236514522822,299,8,16881304
A040,50.3763,1920,1080,yuv420p,30.0039207781305,301,8,17086412
A041,35.1412,1920,1080,yuv420p,29.9861397398536,300,8,16993397
A042,76.8312,1920,1080,yuv420p,30.0091389958182,301,8,17272915
A043,38.1554,1920,1080,yuv420p,30.0049842166473,301,8,16772979
A044,53.4333,1920,1080,yuv420p,30.0,301,8,15194328
A045,81.9773,1920,1080,yuv420p,29.9954673516002,300,8,16996736
A046,69.1902,1920,1080,yuv420p,30.0089395401288,301,8,17136933
A047,58.4895,1920,1080,yuv420p,30.0089062977717,301,8,17093347
A048,72.3462,1920,1080,yuv420p,29.9800133244504,300,8,15730344
A049,72.2176,1920,1080,yuv420p,29.9800133244504,300,8,14740138
A050,48.0519,1920,1080,yuv420p,29.9934680891717,300,8,16991793
A051,80.2807,1920,1080,yuv420p,29.9750208159867,300,8,15744258
A052,44.8256,1920,1080,yuv420p,29.9800133244504,300,8,15000156
A053,67.0884,1920,1080,yuv420p,30.0086736033339,301,8,17132551
A054,76.1667,1920,1080,yuv420p,29.917,300,8,5144377
A055,53.8092,1920,1080,yuvj420p,26.1094871113473,262,8,16293288
A056,52.3594,1920,1080,yuv420p,30.0,300,8,7449955
A057,66.4892,1920,1080,yuv420p,29.9850074962519,300,8,15523422
A058,57.0,1920,1080,yuv420p,29.7980465725025,298,8,16946194
A059,74.2873,1920,1080,yuv420p,29.9667369220166,300,8,16964290
A060,63.1839,1920,1080,yuv420p,29.9742887212302,300,8,16983630
A061,56.4521,1920,1080,yuv420p,29.9937679615458,300,8,16996386
A062,47.5187,1920,1080,yuv420p,29.9216385532555,300,8,16945184
A063,44.8971,1920,1080,yuv420p,30.0058483159508,301,8,17087068
A064,49.8497,1920,1080,yuv420p,29.9615160971019,300,8,16972656
A065,81.8222,1920,1080,yuvj420p,30.0081085032944,301,8,21758790
A066,74.7647,1920,1080,yuv420p,29.9800133244504,300,8,15444400
A067,77.4551,1920,1080,yuv420p,29.9800796812749,301,8,11218637
A068,39.123,1920,1080,yuv420p,29.2834711074194,293,8,16612499
A069,49.4444,1920,1080,yuv420p,30.0,300,8,9519048
A070,65.4608,1920,1080,yuv420p,29.9800133244504,300,8,15198127
A071,74.1071,1920,1080,yuv420p,29.9800133244504,300,8,18229798
A072,20.4406,1920,1080,yuv420p,25.0,252,8,8964932
A073,91.1313,1920,1080,yuv420p,29.9800796812749,301,8,10923183
A074,57.3204,1920,1080,yuv420p,29.9850074962519,300,8,15409714
A075,58.1867,1920,1080,yuv420p,30.0089062977717,301,8,17079144
A076,64.7835,1920,1080,yuv420p,30.0089727825596,301,8,17092917
A077,74.4483,1920,1080,yuv420p,29.9800796812749,301,8,10847007
A078,38.8777,1920,1080,yuvj420p,29.9855253818391,299,8,21717661
A079,81.0943,1920,1080,yuvj420p,30.0000666668148,300,8,19867331
A080,39.2086,1920,1080,yuv420p,29.9543695104458,300,8,16971987
A081,75.7143,1920,1080,yuv420p,29.9800133244504,300,8,15212800
A082,87.0859,1920,1080,yuv420p,29.9750208159867,300,8,15338957
A083,46.3077,1920,1080,yuv420p,29.931,300,8,7455171
A084,55.3835,1920,1080,yuv420p,29.79,298,8,2465060
