vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
yfcc-batch1/725,76.84375,1280,720,yuv420p,29.97,210,8,3121638
yfcc-batch1/728,76.0,1280,720,yuv420p,24.0,172,8,3183430
yfcc-batch1/732,52.5151515151515,1280,720,yuv420p,23.976023976023978,179,8,2882883
yfcc-batch1/729,64.0,1280,720,yuv420p,24.0,192,8,3191983
yfcc-batch1/731,37.5,720,1280,yuv420p,23.976023976023978,209,8,3141706
yfcc-batch1/730,56.9230769230769,1280,720,yuv420p,24.0,167,8,3201794
yfcc-batch1/736,57.31428571428571,1280,720,yuv420p,29.97,216,8,3317799
yfcc-batch1/735,76.0645161290323,1280,720,yuv420p,29.97002997002997,240,8,3166945
yfcc-batch1/733,52.74285714285711,1280,720,yuv420p,29.97002997002997,231,8,3109367
yfcc-batch1/739,30.59375,1280,720,yuv420p,12.0,98,8,3114796
yfcc-batch1/740,55.0,1280,720,yuv420p,29.97002997002997,243,8,3174257
yfcc-batch1/742,63.4333333333333,1280,720,yuv420p,29.97,215,8,3186920
yfcc-batch1/743,65.6666666666667,1280,720,yuv420p,29.97002997002997,246,8,3208159
yfcc-batch1/745,71.64516129032259,1280,720,yuv420p,25.0,200,8,3238850
yfcc-batch1/762,63.0,1280,720,yuv420p,24.0,197,8,3316511
yfcc-batch1/763,70.7647058823529,1280,720,yuv420p,29.97002997002997,185,8,3375673
yfcc-batch1/761,49.8846153846154,1280,720,yuv420p,29.97002997002997,215,8,3142447
yfcc-batch1/774,66.7647058823529,1280,720,yuv420p,25.0,202,8,2999805
yfcc-batch1/776,75.48387096774191,1280,720,yuv420p,25.0,200,8,2942449
yfcc-batch1/775,79.2962962962963,1280,720,yuv420p,25.0,200,8,3102166
yfcc-batch1/773,56.71875,1280,720,yuv420p,29.97,250,8,3092361
yfcc-batch1/777,69.4857142857143,1280,720,yuv420p,25.0,203,8,3053481
yfcc-batch1/781,58.864864864864906,1280,720,yuv420p,25.0,181,8,3113066
yfcc-batch1/783,61.9090909090909,1280,720,yuv420p,25.0,185,8,3174289
yfcc-batch1/785,79.125,1280,720,yuv420p,25.0,204,8,3261250
yfcc-batch1/784,71.1875,1280,720,yuv420p,25.0,179,8,3058979
yfcc-batch1/782,76.03125,1280,720,yuv420p,25.0,200,8,3152894
yfcc-batch1/790,77.0645161290323,1280,720,yuv420p,24.0,196,8,3106690
yfcc-batch1/792,68.3333333333333,1280,720,yuv420p,24.0,192,8,3168950
yfcc-batch1/788,77.92592592592591,1280,720,yuv420p,25.0,200,8,3149623
yfcc-batch1/797,61.8823529411765,1280,720,yuv420p,25.0,200,8,3208010
yfcc-batch1/806,71.1153846153846,1280,720,yuv420p,25.0,180,8,3334739
yfcc-batch1/808,64.969696969697,1280,720,yuv420p,29.97002997002997,210,8,3281985
yfcc-batch1/811,61.3548387096774,1280,720,yuv420p,25.0,199,8,3212724
yfcc-batch1/807,64.53125,1280,720,yuv420p,25.0,203,8,3276720
yfcc-batch1/810,46.4242424242424,1280,720,yuv420p,25.0,179,8,3196270
yfcc-batch1/809,54.7878787878788,1280,720,yuv420p,25.0,181,8,3228400
yfcc-batch1/816,72.97142857142859,1280,720,yuv420p,29.97002997002997,213,8,3191094
yfcc-batch1/1,43.8387096774193,1280,720,yuv420p,24.0,187,8,3262499
yfcc-batch1/7,55.0882352941177,1280,720,yuv420p,24.0,177,8,2861365
yfcc-batch1/5,54.6666666666667,1280,720,yuv420p,24.0,172,8,3503515
yfcc-batch1/2,73.4722222222222,1280,720,yuv420p,29.97,210,8,3074789
yfcc-batch1/11,56.3103448275862,1280,720,yuv420p,24.0,171,8,3007410
yfcc-batch1/9,59.366666666666696,1280,720,yuv420p,25.0,201,8,3360274
yfcc-batch1/16,80.97142857142859,1280,720,yuv420p,29.97,185,8,3275212
yfcc-batch1/23,65.6,1280,720,yuv420p,25.0,199,8,3133264
yfcc-batch1/31,86.5454545454545,1280,720,yuv420p,29.97002997002997,244,8,3432252
yfcc-batch1/40,76.8611111111111,1280,720,yuv420p,25.0,204,8,3314600
yfcc-batch1/45,82.8529411764706,1280,720,yuv420p,29.97,214,8,3750817
yfcc-batch1/41,41.0909090909091,1280,720,yuv420p,29.97,212,8,3450342
yfcc-batch1/51,72.0645161290323,1280,720,yuv420p,29.97,247,8,3125438
yfcc-batch1/58,76.4848484848485,1280,720,yuv420p,23.976023976023978,192,8,3868423
yfcc-batch1/57,57.31428571428571,1280,720,yuv420p,25.0,206,8,2322186
yfcc-batch1/70,84.8888888888889,1280,720,yuv420p,25.0,200,8,2986321
yfcc-batch1/71,84.5483870967742,1280,720,yuv420p,25.0,203,8,3107800
yfcc-batch1/72,61.1081081081081,1280,720,yuv420p,29.97,252,8,1580061
yfcc-batch1/80,53.72222222222221,1280,720,yuv420p,29.97002997002997,209,8,3246178
yfcc-batch1/79,65.28125,1280,720,yuv420p,29.97002997002997,245,8,2711898
yfcc-batch1/85,80.0,1280,720,yuv420p,29.97,240,8,3242054
yfcc-batch1/87,78.6666666666667,1280,720,yuv420p,29.97,227,8,3082295
yfcc-batch1/90,57.5294117647059,1280,720,yuv420p,25.0,199,8,2978034
yfcc-batch1/89,78.90625,1280,720,yuv420p,29.97,228,8,2964022
yfcc-batch1/96,66.4516129032258,1280,720,yuv420p,24.0,196,8,3065985
yfcc-batch1/102,40.6857142857143,1280,720,yuv420p,23.976023976023978,199,8,2906555
yfcc-batch1/103,65.0,1280,720,yuv420p,24.0,192,8,3093684
yfcc-batch1/100,77.7837837837838,1280,720,yuv420p,23.976023976023978,194,8,3324145
yfcc-batch1/111,48.84375,1280,720,yuv420p,29.97,242,8,3128025
yfcc-batch1/109,82.3103448275862,1280,720,yuv420p,25.0,193,8,3382116
yfcc-batch1/105,63.3030303030303,720,1280,yuv420p,29.97002997002997,212,8,3070746
yfcc-batch1/106,44.0882352941177,1280,720,yuv420p,23.976023976023978,192,8,3202350
yfcc-batch1/112,52.17142857142861,1280,720,yuv420p,29.97,225,8,3004821
yfcc-batch1/113,73.78125,1280,720,yuv420p,29.97,270,8,3079203
yfcc-batch1/117,64.26923076923079,1280,720,yuv420p,24.0,184,8,3222616
yfcc-batch1/122,44.9285714285714,1280,720,yuv420p,29.97002997002997,251,8,3204983
yfcc-batch1/130,57.28125,1280,720,yuv420p,29.97,219,8,3211147
yfcc-batch1/133,50.475,1280,720,yuv420p,29.97,211,8,3213594
yfcc-batch1/131,73.05405405405409,1280,720,yuv420p,29.97002997002997,240,8,3045104
yfcc-batch1/139,70.8571428571429,1280,720,yuv420p,29.97,270,8,3272273
yfcc-batch1/138,79.448275862069,1280,720,yuv420p,29.97002997002997,247,8,3185287
yfcc-batch1/140,70.0,1280,720,yuv420p,29.97002997002997,239,8,3309091
yfcc-batch1/137,72.11428571428571,1280,720,yuv420p,29.97002997002997,222,8,2925380
yfcc-batch1/144,71.0,1280,720,yuv420p,24.0,195,8,3114613
yfcc-batch1/146,68.4545454545455,1280,720,yuv420p,29.97,221,8,2815454
yfcc-batch1/145,35.3529411764706,1280,720,yuv420p,29.97,252,8,3178680
yfcc-batch1/141,59.1666666666667,1280,720,yuv420p,29.97002997002997,245,8,3145795
yfcc-batch1/147,70.258064516129,1280,720,yuv420p,29.97,211,8,3161223
yfcc-batch1/149,76.0322580645161,1280,720,yuv420p,29.97,241,8,3163153
yfcc-batch1/153,68.1666666666667,1280,720,yuv420p,23.976023976023978,167,8,3140673
yfcc-batch1/148,68.0,1280,720,yuv420p,29.97,241,8,3135077
yfcc-batch1/150,64.1111111111111,1280,720,yuv420p,24.0,197,8,3256518
yfcc-batch1/156,55.21875,1280,720,yuv420p,29.97,240,8,3109241
yfcc-batch1/157,66.10714285714289,1280,720,yuv420p,29.97,210,8,3346179
yfcc-batch1/160,60.8055555555556,1280,720,yuv420p,24.0,196,8,3305730
yfcc-batch1/155,77.2258064516129,1280,720,yuv420p,24.0,192,8,3143480
yfcc-batch1/158,61.1428571428571,1280,720,yuv420p,29.97,214,8,3164309
yfcc-batch1/162,64.3243243243243,1280,720,yuv420p,24.0,172,8,3187399
yfcc-batch1/167,62.53125,1280,720,yuv420p,29.97,211,8,3062966
yfcc-batch1/165,70.7777777777778,1280,720,yuv420p,24.0,192,8,3284275
yfcc-batch1/161,72.2285714285714,1280,720,yuv420p,24.0,186,8,3083203
yfcc-batch1/164,70.2432432432432,1280,720,yuv420p,29.97,240,8,3189846
yfcc-batch1/166,68.25,1280,720,yuv420p,29.97,217,8,3294743
yfcc-batch1/169,65.3125,1280,720,yuv420p,29.97,245,8,3281658
yfcc-batch1/175,62.59375,1280,720,yuv420p,25.0,204,8,3210956
yfcc-batch1/174,75.1875,1280,720,yuv420p,29.97,245,8,3169052
yfcc-batch1/168,67.4,1280,720,yuv420p,29.97,215,8,3224015
yfcc-batch1/170,60.921052631579,1280,720,yuv420p,29.97,215,8,3188794
yfcc-batch1/182,50.6388888888889,1280,720,yuv420p,24.0,171,8,3084591
yfcc-batch1/184,68.1290322580645,1280,720,yuv420p,29.97,185,8,3035834
yfcc-batch1/183,69.9,1280,720,yuv420p,29.97,211,8,2966333
yfcc-batch1/188,68.85294117647061,1280,720,yuv420p,29.97,216,8,3185749
yfcc-batch1/185,70.5405405405405,1280,720,yuv420p,29.97002997002997,214,8,3302369
yfcc-batch1/191,44.96875,1280,720,yuv420p,24.0,169,8,3306953
yfcc-batch1/189,78.7741935483871,1280,720,yuv420p,24.0,192,8,3166484
yfcc-batch1/186,65.4,1280,720,yuv420p,29.97,241,8,3187111
yfcc-batch1/190,62.612903225806505,1280,720,yuv420p,29.97002997002997,240,8,3138280
yfcc-batch1/199,68.7575757575758,1280,720,yuv420p,29.97002997002997,213,8,3345341
yfcc-batch1/194,32.1875,1280,720,yuv420p,24.0,174,8,3192643
yfcc-batch1/196,65.3333333333333,1280,720,yuv420p,29.97002997002997,242,8,3171846
yfcc-batch1/193,7.5,1280,720,yuv420p,24.0,192,8,3191358
yfcc-batch1/197,41.9428571428571,1280,720,yuv420p,24.0,174,8,2839425
yfcc-batch1/195,50.6451612903226,1280,720,yuv420p,24.0,168,8,3283585
yfcc-batch1/198,80.44444444444441,1280,720,yuv420p,29.97,240,8,3153529
yfcc-batch1/202,64.9705882352941,1280,720,yuv420p,24.0,171,8,3254963
yfcc-batch1/206,60.0,1280,720,yuv420p,24.0,192,8,3163604
yfcc-batch1/200,49.743589743589794,1280,720,yuv420p,24.0,172,8,3220114
yfcc-batch1/214,84.0,1280,720,yuv420p,25.0,178,8,3177362
yfcc-batch1/212,82.9655172413793,1280,720,yuv420p,25.0,175,8,3278301
yfcc-batch1/215,80.2058823529412,1280,720,yuv420p,25.0,217,8,3229966
yfcc-batch1/208,80.55263157894741,1280,720,yuv420p,25.0,175,8,3142660
yfcc-batch1/209,62.1,1280,720,yuv420p,24.0,195,8,3161630
yfcc-batch1/210,80.1388888888889,1280,720,yuv420p,25.0,213,8,3269254
yfcc-batch1/218,55.151515151515206,1280,720,yuv420p,29.97,220,8,3138809
yfcc-batch1/216,79.4285714285714,1280,720,yuv420p,25.0,203,8,3241900
yfcc-batch1/217,65.625,1280,720,yuv420p,29.97,233,8,3012731
yfcc-batch1/223,66.2,1280,720,yuv420p,29.97,238,8,3131825
yfcc-batch1/227,48.3939393939394,1280,720,yuv420p,24.0,171,8,3238534
yfcc-batch1/233,60.0,1280,720,yuv420p,29.97002997002997,240,8,3086306
yfcc-batch1/238,62.1612903225807,1280,720,yuv420p,29.97,240,8,3186840
yfcc-batch1/239,51.0909090909091,1280,720,yuv420p,29.97,256,8,3208827
yfcc-batch1/240,66.6969696969697,1280,720,yuv420p,29.97,242,8,3262809
yfcc-batch1/241,51.90625,1280,720,yuv420p,29.97,218,8,3149864
yfcc-batch1/247,72.08571428571429,1280,720,yuv420p,24.0,173,8,3249459
yfcc-batch1/242,58.88571428571429,1280,720,yuv420p,29.97,185,8,3378288
yfcc-batch1/244,57.9354838709677,1280,720,yuv420p,24.0,199,8,3083518
yfcc-batch1/246,67.91176470588239,1280,720,yuv420p,24.0,172,8,3080509
yfcc-batch1/255,68.0,1280,720,yuv420p,29.97002997002997,240,8,2915415
yfcc-batch1/254,71.258064516129,1280,720,yuv420p,29.97,215,8,3233125
