Index,vid,Is Greyscale
520,yfcc-batch2/1395,True
727,yfcc-batch2/867,True
771,yfcc-batch2/940,True
839,yfcc-batch2/1037,True
841,yfcc-batch2/1045,True
1164,yfcc-batch3/2334,True
1392,yfcc-batch3/1847,True
1446,yfcc-batch3/1924,True
2033,yfcc-batch4/2758,True
2774,yfcc-batch6/4635,True
2815,yfcc-batch6/4691,True
3098,yfcc-batch6/4303,True
4369,yfcc-batch9/6940,True
4861,yfcc-batch9/6824,True
4986,yfcc-batch10/7836,True
6692,yfcc-batch13/10491,True
7049,yfcc-batch13/10170,True
8235,yfcc-batch15/11747,True
9099,yfcc-batch17/13807,True
9335,yfcc-batch17/13321,True
9423,yfcc-batch17/13446,True
9591,yfcc-batch18/14509,True
9809,yfcc-batch18/14003,True
10284,yfcc-batch19/15498,True
10508,yfcc-batch19/15003,True
11240,yfcc-batch21/16891,True
11594,yfcc-batch21/16586,True
11645,yfcc-batch21/16665,True
11807,yfcc-batch22/17710,True
12178,yfcc-batch22/17431,True
12181,yfcc-batch22/17432,True
12914,yfcc-batch24/19329,True
13323,yfcc-batch24/19093,True
13501,yfcc-batch25/19818,True
13619,ia-batch1/youtube-xZoH2oztnU,True
13711,ia-batch1/youtube-AGJ32TfXbE0,True
13846,ia-batch1/BeauSabreurTrailer,True
13859,ia-batch1/yorkmba99_hotmail_Mon,True
13917,ia-batch1/bliptv-20131031-022004-Black5video-FarmerMovingSouthBR1952566,True
13974,ia-batch1/youtube-LE0PzrIisEk,True
14141,ia-batch1/youtube-ggskYcM-U3A,True
14158,ia-batch1/ScottPhillipsWalkingBlues1985,True
14295,ia-batch2/TheCrystalBall1943,True
14395,ia-batch2/youtube-7Nm7aC_dkx8,True
14607,ia-batch2/RidersOfTheRockies,True
14627,ia-batch2/aocla-AOC_Community_Quotes-_Candace_Gulotta-Haggart,True
14668,ia-batch2/AnArcadianMaidPreview,True
14676,ia-batch2/arthurlipsett,True
14840,ia-batch3/youtube-UIIUlJ4Wg5o,True
14875,ia-batch3/ClassicToons_201601,True
14933,ia-batch3/cobok-The_Way_We_Worked_-_Smithsonian_Exhibit_Coming_to_Broken_Arrow,True
14951,ia-batch3/youtube-qxRyk1QCfQs,True
15104,ia-batch3/1912DirectorUnknownPetticoatCampFlorenceLaBadieWilliamGarwood,True
15129,ia-batch3/youtube-oxtaSn217JQ,True
15214,ia-batch3/1933DeadwoodPass,True
15220,ia-batch3/ncgvtvca-Smith_and_Macarthy,True
15306,ia-batch3/youtube-ec7Hy4eHHyc,True
15402,ia-batch3/SwingYouSinners,True
15452,ia-batch4/youtube-rap_98LxkjA,True
15459,ia-batch4/MVI505449,True
15474,ia-batch4/youtube-FmleJsklmAA,True
15643,ia-batch4/CutTheGoat1921,True
15707,ia-batch4/youtube-7UNg2UZW2as,True
15796,ia-batch4/FightingBlood_201401,True
15803,ia-batch4/MVI50542126,True
15835,ia-batch4/TheBarnDance,True
15849,ia-batch4/ClassicToons_201511,True
15900,ia-batch4/TightRopeTricks1933,True
16074,ia-batch5/58270_1411111978_s01_Rubber_cultuurmaatschappij_Amsterdam_Deli_ok_van_Sumatra,True
16128,ia-batch5/O_Sister_Brother-Babylon,True
16144,ia-batch5/youtube-IXccrEcnZD4,True
16154,ia-batch5/youtube-BTb-BBjjzCo,True
