Index,vid,Is Greyscale
19,CoverSong_360P-1b2b,True
65,HowTo_360P-3aa6,True
91,Lecture_360P-5779,True
116,LyricVideo_360P-0ac7,True
161,Sports_360P-11b7,True
171,Sports_360P-3e68,True
211,Vlog_360P-2973,True
225,Animation_480P-073c,True
230,Animation_480P-35ee,True
243,CoverSong_480P-1019,True
247,CoverSong_480P-2d2c,True
352,LyricVideo_480P-0a5b,True
359,LyricVideo_480P-4346,True
367,MusicVideo_480P-1eee,True
371,MusicVideo_480P-41ce,True
379,MusicVideo_480P-6fb6,True
416,Sports_480P-11ec,True
419,Sports_480P-1d1b,True
427,Sports_480P-3ca4,True
475,Vlog_480P-34ba,True
489,Animation_720P-0116,True
494,Animation_720P-1a6d,True
496,Animation_720P-2abf,True
510,CoverSong_720P-014c,True
520,CoverSong_720P-6626,True
555,HowTo_720P-12f7,True
564,HowTo_720P-4d55,True
588,Lecture_720P-5120,True
601,LiveMusic_720P-3320,True
610,LyricVideo_720P-068d,True
615,LyricVideo_720P-2d24,True
620,LyricVideo_720P-5d3a,True
632,MusicVideo_720P-3c4c,True
640,MusicVideo_720P-7bcf,True
699,TelevisionClip_720P-1862,True
718,VerticalVideo_720P-6580,True
746,Animation_1080P-0c4f,True
748,Animation_1080P-209f,True
752,Animation_1080P-3d67,True
762,Animation_1080P-6a33,True
769,CoverSong_1080P-0f3a,True
773,CoverSong_1080P-2207,True
887,LiveMusic_1080P-7ead,True
891,LyricVideo_1080P-1b04,True
899,LyricVideo_1080P-63d4,True
911,MusicVideo_1080P-2b2b,True
