vid,framerate,MOS
3339962845,29.97002997,4.64
8171831850,29.97002997,4.444029851
6076608135,29.97002997,4.4
7518773518,23.97602398,4.32
8657921837,24.0,4.3
8758952624,29.97,4.3
9571377943,23.976,4.28
8562619627,25.0,4.26
12379836133,25.0,4.24
12355531285,29.97,4.22
6947112934,25.0,4.18
4675931801,29.97002997,4.16
6787309364,29.97002997,4.16
5391431291,23.97602398,4.151851852
10244479353,29.97,4.14
4779773181,25.0,4.14
8286421427,25.0,4.14
11618284403,29.97002997,4.12
6913535960,25.0,4.106299213
13288073854,25.0,4.1
5355837503,23.97602398,4.1
11540616946,29.97,4.08
3407992311,29.97002997,4.08
9633321480,24.0,4.08
10008004183,25.0,4.06
7177696763,24.0,4.06
5477809421,29.97002997,4.04
6900620920,24.0,4.04
9060241382,25.0,4.04
9480678073,29.97,4.04
9513903384,29.97,4.04
9917916796,29.97,4.04
12378508014,25.0,4.035573123
3369925072,29.97002997,4.02
3963620197,23.97602398,4.02
4329911079,29.97002997,4.02
8667534666,29.97002997,4.02
8701032421,23.97602398,4.02
9709640314,29.97,4.02
4549036485,29.97002997,3.992481203
4273096444,29.97002997,3.98
4800261002,29.97002997,3.98
9464591256,23.976,3.98
12255205254,25.0,3.96
7977126554,29.97002997,3.96
8182527128,29.97002997,3.96
8420230247,29.97002997,3.96
6528988807,24.0,3.94488189
10149337843,29.97,3.94
11535683914,29.97002997,3.94
4655662252,29.97002997,3.94
7029270875,23.97602398,3.94
8859509880,29.97,3.94
11383768246,29.97002997,3.92
5487345956,29.97002997,3.92
5875944717,25.0,3.92
6492110563,29.97002997,3.92
7197025396,29.97002997,3.92
7385692814,29.97002997,3.92
8052505414,29.97002997,3.92
8172276744,29.97002997,3.92
8440192357,29.97002997,3.92
11864752706,29.97002997,3.9
12704590184,23.97602398,3.9
4417558772,29.97002997,3.9
4495254692,23.97602398,3.9
4545845826,29.97002997,3.9
5562932712,23.97602398,3.9
8414555471,25.0,3.9
8937776831,29.97,3.9
8953002659,29.97,3.9
10636855406,29.97,3.88
12101500915,29.97002997,3.88
12465909365,29.97,3.88
4713503488,23.97602398,3.88
5279319629,29.97002997,3.88
8588854353,23.97602398,3.88
5669052182,29.97002997,3.879844961
4279268661,29.97002997,3.86
5154464760,25.0,3.86
5280283886,29.97002997,3.86
8991258489,24.0,3.86
9525693928,29.97,3.86
5360605734,29.97002997,3.84
5917982116,29.97002997,3.84
6798366426,23.97602398,3.84
8331955206,29.97002997,3.84
9267867823,29.97,3.84
9680817388,29.97,3.84
9724431856,29.97,3.84
9753414792,29.97,3.84
4803433208,29.97002997,3.823529412
3747645672,24.0,3.82
5660712402,29.97002997,3.82
6313769652,29.97002997,3.82
8431144343,24.0,3.82
9542585542,29.97,3.82
9617144245,29.97,3.82
10027007645,29.97,3.8
3489123822,24.0,3.8
5338017301,29.97002997,3.8
6538025379,29.97002997,3.8
7066660513,29.97002997,3.8
8646141367,25.0,3.8
8738388681,29.97002997,3.8
9095814754,23.976,3.8
9390723258,29.97,3.8
9513714022,29.97,3.8
9740517228,23.976,3.8
4297792287,25.0,3.78
4975471705,29.97002997,3.78
5688399126,29.97002997,3.78
6313200205,29.97002997,3.78
9515797648,29.97,3.78
11816978255,25.0,3.76
4313579496,24.0,3.76
6806699713,29.97002997,3.76
8118947664,29.97002997,3.76
8331282929,23.97602398,3.76
10013374164,29.97,3.74
5212573386,29.97002997,3.74
5705527370,29.97002997,3.74
7983610133,29.97002997,3.74
8442879599,29.97002997,3.74
8480588816,29.97002997,3.74
8494495600,23.97602398,3.74
8587384006,29.97002997,3.74
12279842993,29.97,3.72
3819966572,29.97002997,3.72
3975461732,29.97002997,3.72
4201416279,29.97002997,3.72
4980230630,29.97002997,3.72
6373417661,23.97602398,3.72
6677269327,29.97002997,3.72
6772996477,23.97602398,3.72
6844033217,29.97002997,3.72
8429349812,29.97002997,3.72
8773297527,29.97,3.72
9478631712,29.97,3.706349206
10019485755,29.97,3.7
10837320963,25.0,3.7
11646665363,29.97002997,3.7
4363644898,29.97002997,3.7
4712606231,29.97002997,3.7
5756899543,29.97002997,3.7
6598948831,29.97002997,3.7
7849542524,29.97002997,3.7
10403478556,23.976,3.68
13079468475,29.97,3.68
4283455837,29.97002997,3.68
5341444640,23.97602398,3.68
5739175520,29.97002997,3.68
5831807090,29.97002997,3.68
6027407703,29.97002997,3.68
6293871635,29.97002997,3.68
6514514177,23.97602398,3.68
6847647728,29.97002997,3.68
6867862287,29.97002997,3.68
7313643370,29.97002997,3.68
8252040986,29.97002997,3.68
8915047035,29.97,3.68
8741017589,29.97,3.676470588
3588022983,24.0,3.66
4161940753,24.0,3.66
5596033251,23.97602398,3.66
8510251919,29.97002997,3.66
8631895364,29.97002997,3.66
8683385786,29.97002997,3.66
8955950667,29.97,3.66
9802042845,29.97,3.66
10931366544,23.97602398,3.64
13154058393,23.97602398,3.64
3546788918,29.97002997,3.64
5082292308,29.97002997,3.64
5632758635,29.97002997,3.64
7396603710,29.97002997,3.64
8195185860,29.97002997,3.64
8717647202,25.0,3.64
5011231037,29.97002997,3.62195122
3948863216,24.0,3.62
5693366090,29.97002997,3.62
6107338487,25.0,3.62
6625655725,29.97002997,3.62
8355599976,23.97602398,3.62
12088104156,29.97002997,3.6
