vid,framerate,MOS,MOS_raw
A001,29.9929016799357,80.232,80.232
A002,29.9800796812749,57.3005,57.3005
A003,29.9750208159867,78.1558,78.1558
A005,30.0,47.1778,47.1778
A006,30.0078093413014,84.6517,84.6517
A007,29.9750208159867,50.8675,50.8675
A008,29.9800133244504,46.8902,46.8902
A009,29.9800133244504,80.7925,80.7925
A010,30.0081749845473,31.2785,31.2785
A011,29.9801797700409,87.2287,87.2287
A012,29.9001666657438,47.7826,47.7826
A015,29.9882712539096,78.3957,78.3957
A016,29.8974421077308,37.8421,37.8421
A017,30.0089727825596,65.4778,65.4778
A018,29.9800133244504,76.0205,76.0205
A019,29.9800796812749,70.843,70.843
A020,29.9836422573907,77.7258,77.7258
A021,29.8500509148026,37.6011,37.6011
A022,30.0049842166473,38.674,38.674
A023,29.9800133244504,69.0588,69.0588
A025,29.9255850451876,42.0856,42.0856
A027,29.9800133244504,56.3388,56.3388
A028,29.8293706789812,41.5304,41.5304
A029,29.9850074962519,75.3861,75.3861
A030,30.0055491990213,81.5278,81.5278
A031,29.9295989322893,62.1042,62.1042
A032,29.9800796812749,74.3189,74.3189
A033,29.9482892871642,71.7097,71.7097
A035,29.9800796812749,85.0968,85.0968
A037,29.9800796812749,77.5858,77.5858
A038,29.925,51.9195,51.9195
A039,29.8236514522822,53.006,53.006
A040,30.0039207781305,50.3763,50.3763
A042,30.0091389958182,76.8312,76.8312
A043,30.0049842166473,38.1554,38.1554
A044,30.0,53.4333,53.4333
A045,29.9954673516002,81.9773,81.9773
A046,30.0089395401288,69.1902,69.1902
A047,30.0089062977717,58.4895,58.4895
A048,29.9800133244504,72.3462,72.3462
A049,29.9800133244504,72.2176,72.2176
A050,29.9934680891717,48.0519,48.0519
A051,29.9750208159867,80.2807,80.2807
A052,29.9800133244504,44.8256,44.8256
A053,30.0086736033339,67.0884,67.0884
A054,29.917,76.1667,76.1667
A056,30.0,52.3594,52.3594
A057,29.9850074962519,66.4892,66.4892
A058,29.7980465725025,57.0,57.0
A060,29.9742887212302,63.1839,63.1839
A061,29.9937679615458,56.4521,56.4521
A062,29.9216385532555,47.5187,47.5187
A063,30.0058483159508,44.8971,44.8971
A064,29.9615160971019,49.8497,49.8497
A065,30.0081085032944,81.8222,81.8222
A066,29.9800133244504,74.7647,74.7647
A068,29.2834711074194,39.123,39.123
A070,29.9800133244504,65.4608,65.4608
A071,29.9800133244504,74.1071,74.1071
A076,30.0089727825596,64.7835,64.7835
A077,29.9800796812749,74.4483,74.4483
A078,29.9855253818391,38.8777,38.8777
A080,29.9543695104458,39.2086,39.2086
A081,29.9800133244504,75.7143,75.7143
A082,29.9750208159867,87.0859,87.0859
A083,29.931,46.3077,46.3077
A084,29.79,55.3835,55.3835
A085,30.0088730554882,70.8486,70.8486
A086,29.9800133244504,35.2749,35.2749
A089,29.841,46.9444,46.9444
A091,29.837,46.2238,46.2238
A093,29.9821439675926,66.9632,66.9632
A094,30.0055824339412,52.3441,52.3441
A095,29.9800133244504,71.5491,71.5491
A096,29.9750208159867,66.5815,66.5815
A097,29.9751037344398,66.4593,66.4593
A098,30.0089062977717,85.8091,85.8091
A100,30.025037489734,46.6273,46.6273
A101,29.9750208159867,69.3657,69.3657
A103,29.8507462686567,71.6203,71.6203
A104,29.9360698596996,50.385,50.385
A105,29.9800133244504,37.8824,37.8824
A106,30.3467718120805,72.642,72.642
A107,29.9800133244504,81.6325,81.6325
A108,30.0832870627429,35.8462,35.8462
A110,29.9800796812749,87.8585,87.8585
B001,19.561507300634,27.2485,27.2485
B003,30.0058815515334,49.1111,49.1111
B005,29.985057280425,47.2959,47.2959
B006,30.0053009364988,44.4845,44.4845
B007,29.3050795471215,37.858,37.858
B008,30.0076763823304,75.0204,75.0204
B010,29.7919892651087,33.9518,33.9518
B011,29.8056815765223,36.0333,36.0333
B012,29.7280251480028,33.9801,33.9801
B013,29.8240480908619,58.0795,58.0795
B014,30.0091722386909,62.3243,62.3243
B016,29.9800796812749,52.1065,52.1065
B017,29.97002997003,65.3693,65.3693
B018,29.9941678007054,54.024,54.024
B019,29.9358707125181,66.1658,66.1658
B020,30.0,69.2781,69.2781
B021,29.985057280425,84.9903,84.9903
B022,29.985057280425,84.532,84.532
B023,29.985057280425,70.8629,70.8629
B024,29.985057280425,67.6078,67.6078
B025,29.985057280425,86.53,86.53
B026,29.9800796812749,72.0794,72.0794
B027,29.9800796812749,89.2689,89.2689
B028,29.9800796812749,78.8442,78.8442
B029,29.9800796812749,90.8788,90.8788
B030,29.9800796812749,23.7704,23.7704
B031,29.9800796812749,69.9155,69.9155
B032,29.9800796812749,62.1639,62.1639
B035,29.9800796812749,43.9005,43.9005
B036,29.9800796812749,82.8776,82.8776
B037,29.9800796812749,47.7402,47.7402
B038,29.9800796812749,67.4641,67.4641
B039,29.9800796812749,61.2217,61.2217
B041,29.9800796812749,45.799,45.799
B042,29.9800796812749,62.8774,62.8774
B044,29.9800796812749,87.1329,87.1329
B045,29.9800796812749,64.1244,64.1244
B046,29.9800796812749,75.0229,75.0229
B047,29.9800796812749,63.7714,63.7714
B049,29.9800796812749,78.5928,78.5928
B050,29.9800796812749,77.2019,77.2019
B051,29.9800796812749,46.0611,46.0611
B052,29.9800796812749,58.6099,58.6099
B053,29.9800796812749,74.9505,74.9505
B054,30.0,27.2126,27.2126
B056,29.985057280425,62.6744,62.6744
B057,29.9800796812749,59.9947,59.9947
B058,29.9800796812749,58.367,58.367
B059,29.9800796812749,52.0,52.0
B060,29.9800796812749,59.4882,59.4882
B061,29.9800796812749,63.7011,63.7011
B062,29.9800796812749,56.8361,56.8361
B063,29.985057280425,44.152,44.152
B065,29.9800796812749,58.7207,58.7207
B066,29.9800796812749,57.5947,57.5947
B068,30.0,76.6719,76.6719
B070,30.0,56.4128,56.4128
B072,30.0,82.573,82.573
B073,30.0,66.0347,66.0347
B074,30.0,83.0838,83.0838
B075,30.0,55.4301,55.4301
B077,30.0,81.9227,81.9227
B078,30.0,87.6489,87.6489
B079,30.0,73.5323,73.5323
B080,30.0,78.8136,78.8136
B081,30.0,46.3822,46.3822
B082,29.9166666666667,39.3422,39.3422
B083,29.97,47.1299,47.1299
B084,30.0,27.3091,27.3091
B085,30.0,78.5556,78.5556
B086,30.0,80.3536,80.3536
B089,29.97002997003,74.2079,74.2079
B092,30.0,75.2238,75.2238
B095,30.0,72.7588,72.7588
B096,29.846,57.6856,57.6856
B097,29.4166666666667,60.4053,60.4053
B098,29.97002997003,80.199,80.199
B099,29.8333333333333,69.5399,69.5399
