vid,framerate,MOS,MOS_raw
yfcc-batch1/725,29.97,76.84375,76.84375
yfcc-batch1/728,24.0,76.0,76.0
yfcc-batch1/732,23.976023976023978,52.5151515151515,52.5151515151515
yfcc-batch1/729,24.0,64.0,64.0
yfcc-batch1/731,23.976023976023978,37.5,37.5
yfcc-batch1/730,24.0,56.9230769230769,56.9230769230769
yfcc-batch1/736,29.97,57.31428571428571,57.31428571428571
yfcc-batch1/735,29.97002997002997,76.0645161290323,76.0645161290323
yfcc-batch1/733,29.97002997002997,52.74285714285711,52.74285714285711
yfcc-batch1/739,12.0,30.59375,30.59375
yfcc-batch1/740,29.97002997002997,55.0,55.0
yfcc-batch1/742,29.97,63.4333333333333,63.4333333333333
yfcc-batch1/743,29.97002997002997,65.6666666666667,65.6666666666667
yfcc-batch1/745,25.0,71.64516129032259,71.64516129032259
yfcc-batch1/762,24.0,63.0,63.0
yfcc-batch1/763,29.97002997002997,70.7647058823529,70.7647058823529
yfcc-batch1/761,29.97002997002997,49.8846153846154,49.8846153846154
yfcc-batch1/774,25.0,66.7647058823529,66.7647058823529
yfcc-batch1/776,25.0,75.48387096774191,75.48387096774191
yfcc-batch1/775,25.0,79.2962962962963,79.2962962962963
yfcc-batch1/773,29.97,56.71875,56.71875
yfcc-batch1/777,25.0,69.4857142857143,69.4857142857143
yfcc-batch1/781,25.0,58.864864864864906,58.864864864864906
yfcc-batch1/783,25.0,61.9090909090909,61.9090909090909
yfcc-batch1/785,25.0,79.125,79.125
yfcc-batch1/784,25.0,71.1875,71.1875
yfcc-batch1/782,25.0,76.03125,76.03125
yfcc-batch1/790,24.0,77.0645161290323,77.0645161290323
yfcc-batch1/792,24.0,68.3333333333333,68.3333333333333
yfcc-batch1/788,25.0,77.92592592592591,77.92592592592591
yfcc-batch1/797,25.0,61.8823529411765,61.8823529411765
yfcc-batch1/806,25.0,71.1153846153846,71.1153846153846
yfcc-batch1/808,29.97002997002997,64.969696969697,64.969696969697
yfcc-batch1/811,25.0,61.3548387096774,61.3548387096774
yfcc-batch1/807,25.0,64.53125,64.53125
yfcc-batch1/810,25.0,46.4242424242424,46.4242424242424
yfcc-batch1/809,25.0,54.7878787878788,54.7878787878788
yfcc-batch1/816,29.97002997002997,72.97142857142859,72.97142857142859
yfcc-batch1/1,24.0,43.8387096774193,43.8387096774193
yfcc-batch1/7,24.0,55.0882352941177,55.0882352941177
yfcc-batch1/5,24.0,54.6666666666667,54.6666666666667
yfcc-batch1/2,29.97,73.4722222222222,73.4722222222222
yfcc-batch1/11,24.0,56.3103448275862,56.3103448275862
yfcc-batch1/9,25.0,59.366666666666696,59.366666666666696
yfcc-batch1/16,29.97,80.97142857142859,80.97142857142859
yfcc-batch1/23,25.0,65.6,65.6
